post_id,text,label,hashtags
1,Looking for some green? DM me for details 🔥,Drug-related,"#green, #exclusive"
2,Just relaxing and enjoying the day 🌿,Non-drug,"#relax, #life"
3,Looking for some product? DM me for details 🔥,Drug-related,"#product, #exclusive"
4,Exploring nature and living life to the fullest 💊,Non-drug,"#relax, #life"
5,Ready to serve coke to my loyal clients 🍁,Drug-related,"#coke, #exclusive"
6,Excited for the new restaurant opening! 🍁,Non-drug,"#relax, #life"
7,Anyone interested in some premium product? 🍃,Drug-related,"#product, #exclusive"
8,Loving the weekend vibes! 💸,Non-drug,"#relax, #life"
9,Fresh coke in town! Hit me up 💰,Drug-related,"#coke, #exclusive"
10,Loving the weekend vibes! 💸,Non-drug,"#relax, #life"
11,"🔥 Only the best exclusive here, DM for info!",Drug-related,"#exclusive, #exclusive"
12,"Best coffee in town, anyone else a fan? 🌿",Non-drug,"#relax, #life"
13,"Limited weed available, get it before it's gone 🚬",Drug-related,"#weed, #exclusive"
14,Just relaxing and enjoying the day 🍃,Non-drug,"#relax, #life"
15,"🚬 Quality product available, contact for more!",Drug-related,"#product, #exclusive"
16,Exploring nature and living life to the fullest 🚬,Non-drug,"#relax, #life"
17,"💸 Quality coke available, contact for more!",Drug-related,"#coke, #exclusive"
18,"Best coffee in town, anyone else a fan? 💊",Non-drug,"#relax, #life"
19,Fresh coke in town! Hit me up 🍃,Drug-related,"#coke, #exclusive"
20,Exploring nature and living life to the fullest 💊,Non-drug,"#relax, #life"
21,Looking for some coke? DM me for details 💊,Drug-related,"#coke, #exclusive"
22,Nothing better than a good book and coffee 🚬,Non-drug,"#relax, #life"
23,"Stocked up on goods, get yours now! 🔥",Drug-related,"#goods, #exclusive"
24,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
25,"🍁 Quality 420 available, contact for more!",Drug-related,"#420, #exclusive"
26,Loving the weekend vibes! 💰,Non-drug,"#relax, #life"
27,"💰 Only the best product here, DM for info!",Drug-related,"#product, #exclusive"
28,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
29,Ready to serve ganja to my loyal clients 🍁,Drug-related,"#ganja, #exclusive"
30,Nothing better than a good book and coffee 💊,Non-drug,"#relax, #life"
31,"🚬 Only the best herb here, DM for info!",Drug-related,"#herb, #exclusive"
32,Loving the weekend vibes! 💰,Non-drug,"#relax, #life"
33,"💸 Only the best goods here, DM for info!",Drug-related,"#goods, #exclusive"
34,Just relaxing and enjoying the day 🍁,Non-drug,"#relax, #life"
35,Looking for some weed? DM me for details 💊,Drug-related,"#weed, #exclusive"
36,Who else loves morning hikes? 🚬,Non-drug,"#relax, #life"
37,Ready to serve weed to my loyal clients 🚬,Drug-related,"#weed, #exclusive"
